episode,name,line,emotion,score
4x02 - The Best Burger in New York,Barney," Goliath National Bank. The world leader in credit and banking. God, I love Goliath National Bank!
",joy,0.8631492853164673
4x02 - The Best Burger in New York,Ted," Okay, first of all, you look like the last pick in the draft. And, second, why are you so excited about some bank?
",surprise,0.7633553147315979
4x02 - The Best Burger in New York,Barney," Our company just bought them out in a ruthless takeover. Took two months. Cost 2,000 jobs. It was brutal. Who wants a T-shirt?  Hey, Marshall, they're hiring in the legal department. I could get you a job.
",anger,0.5297867655754089
4x02 - The Best Burger in New York,Lily," Barney, Marshall didn't quit his last soul-sucking corporate job just to go work at a bank. He's gonna be an environmental lawyer.
",neutral,0.6535415053367615
4x02 - The Best Burger in New York,Ted," So, what do you guys want to do for dinner?
",neutral,0.814583420753479
4x02 - The Best Burger in New York,Robin," Great, we'll take five of those.
",neutral,0.95098477602005
4x02 - The Best Burger in New York,Ted," Really? You want to eat here?
",surprise,0.874169647693634
4x02 - The Best Burger in New York,Robin," Yeah, I'm freaking starving. I just finished a seven-day cleanse.
",disgust,0.49978867173194885
4x02 - The Best Burger in New York,Marshall," I thought you started that yesterday.
",neutral,0.6651527881622314
4x02 - The Best Burger in New York,Robin," I finished early, OK?
",neutral,0.6208769083023071
4x02 - The Best Burger in New York,Ted," Wait. What about sushi?
",neutral,0.9059342741966248
4x02 - The Best Burger in New York,Lily," We had sushi last night.
",joy,0.47360488772392273
4x02 - The Best Burger in New York,Barney," Italian.
",neutral,0.9543395042419434
4x02 - The Best Burger in New York,Ted," I had Italian for lunch.
",neutral,0.600135862827301
4x02 - The Best Burger in New York,Robin," No. We always do this. We spend an hour arguing about where to eat, and we end up here anyway. I haven't eaten for two days. Can we please, for the love of God, just order something now?
",neutral,0.5108426809310913
4x02 - The Best Burger in New York,Ted," Chinese?
",surprise,0.7740684151649475
4x02 - The Best Burger in New York,Robin," Oh.
",neutral,0.6220094561576843
4x02 - The Best Burger in New York,Barney," I don't like Chinese.
",disgust,0.8732541799545288
4x02 - The Best Burger in New York,Ted," Indian?
",surprise,0.7181322574615479
4x02 - The Best Burger in New York,Barney," I just said I don't like Chinese.
",disgust,0.787070631980896
4x02 - The Best Burger in New York,Ted," Indian isn't Chinese.
",neutral,0.9140447974205017
4x02 - The Best Burger in New York,Barney," Weird meats, funny music, side of rice. Why are we splitting hairs?
",joy,0.43148860335350037
4x02 - The Best Burger in New York,Ted," Mexican?
",surprise,0.5985758900642395
4x02 - The Best Burger in New York,Barney," I just said I don't like Chinese.
",disgust,0.787070631980896
4x02 - The Best Burger in New York,Robin," God.
",surprise,0.4660131633281708
4x02 - The Best Burger in New York,Robin," Of course, mine comes last. Go ahead, start without me.
",fear,0.5338346362113953
4x02 - The Best Burger in New York,Lily," My God. This burger is so good. It's like Christmas in my mouth, meat Christmas.
",surprise,0.4506295621395111
4x02 - The Best Burger in New York,Ted," It's like an angel from heaven landed in the kitchen at MacLaren's. Where the chef k*ll it and ran it through the meat grinder.
",neutral,0.5440542101860046
4x02 - The Best Burger in New York,Barney," I love this burger so much, I want to sew my ass shut.
",joy,0.8136773109436035
4x02 - The Best Burger in New York,Marshall," It's okay.
",neutral,0.541335940361023
4x02 - The Best Burger in New York,Marshall," Guys, guys, guys. When you've had the best burger in NY, every other burger tastes like my grandpa's feet. But you guys eat up, enjoy my grandpa's feet.
",joy,0.5892459750175476
4x02 - The Best Burger in New York,Robin," And you've had the best burger in New York?
",surprise,0.5841042995452881
4x02 - The Best Burger in New York,Marshall," It was eight years ago, my first week in New York, and for a kid from Minnesota, the big city was a scary place.
",fear,0.9619261622428894
4x02 - The Best Burger in New York,Marshall," Oh, thank God it's just you.
",surprise,0.5656774640083313
4x02 - The Best Burger in New York,Ted," You are being ridiculous. (
",anger,0.6855646967887878
4x02 - The Best Burger in New York,Marshall," Why would I have to leave? I can have anything I want delivered, and New York City cable is awesome. Have you seen this public access show with the old Jewish lady in a bikini?
",neutral,0.660843014717102
4x02 - The Best Burger in New York,Ted," Marshall, you have to get over this paranoia. You are not gonna get mugged.
",fear,0.4794969856739044
4x02 - The Best Burger in New York,Marshall," What if I do, Ted. I don't have a switchblade. I don't know how to break-dance and win the begrudging respect of a street g*ng.
",anger,0.3278253972530365
4x02 - The Best Burger in New York,Ted," That's it, you're taking a walk. Come on, go.
",neutral,0.5145688652992249
4x02 - The Best Burger in New York,Marshall," No. Look, the old lady in a bikini is back on. I'm just gonna lie back and get comfortable.
",disgust,0.6096675992012024
4x02 - The Best Burger in New York,Ted," Go outside, go, go.
",anger,0.7506612539291382
4x02 - The Best Burger in New York,Marshall," Okay.
",neutral,0.6142760515213013
4x02 - The Best Burger in New York,Ted," Leave the bat.
",neutral,0.6876525282859802
4x02 - The Best Burger in New York,Marshall," Fine.
",neutral,0.7121901512145996
4x02 - The Best Burger in New York,Marshall," And then, right when I started to get a little hungry, I turned a corner...
",neutral,0.48395881056785583
4x02 - The Best Burger in New York,Marshall," And there it was.
",neutral,0.8709200024604797
4x02 - The Best Burger in New York,Barney," Name two places where things get stuffed.
",neutral,0.7264940142631531
4x02 - The Best Burger in New York,Marshall," So, I went inside.
",neutral,0.451582133769989
4x02 - The Best Burger in New York,Marshall," Ted, you got to wake up. Wake...
",neutral,0.5552032589912415
4x02 - The Best Burger in New York,Ted," Oh, my God. I'm so sorry. Are you okay?
",surprise,0.4413926303386688
4x02 - The Best Burger in New York,Marshall," I'm all right. Ted, I've just had the most amazing burger of my life! It's this awesome little place, Regis Philbin eats there, so it's sort of like a celebrity hot spot. But the burger. The burger. Dude.
",surprise,0.4436856210231781
4x02 - The Best Burger in New York,Ted," I want one of those burgers right now! Do you think they're still open?
",surprise,0.7337374091148376
4x02 - The Best Burger in New York,Marshall," I don't know
",surprise,0.746517539024353
4x02 - The Best Burger in New York,Marshall,"(Raising hands in the sky.)
",fear,0.4491956830024719
4x02 - The Best Burger in New York,Robin," You couldn't find it?
",surprise,0.8710035085678101
